year,month,day,hour,minute,dhi,dni,ghi,temperature
2022,1,1,0,0,0,0,0,-12.1
2022,1,1,0,10,0,0,0,-12.2
2022,1,1,0,20,0,0,0,-12.4
2022,1,1,0,30,0,0,0,-12.6
2022,1,1,0,40,0,0,0,-12.8
2022,1,1,0,50,0,0,0,-13
2022,1,1,1,0,0,0,0,-13.2
2022,1,1,1,10,0,0,0,-13.3
2022,1,1,1,20,0,0,0,-13.4
2022,1,1,1,30,0,0,0,-13.5
2022,1,1,1,40,0,0,0,-13.7
2022,1,1,1,50,0,0,0,-13.8
2022,1,1,2,0,0,0,0,-13.9
2022,1,1,2,10,0,0,0,-14
2022,1,1,2,20,0,0,0,-14.1
2022,1,1,2,30,0,0,0,-14.2
2022,1,1,2,40,0,0,0,-14.3
2022,1,1,2,50,0,0,0,-14.4
2022,1,1,3,0,0,0,0,-14.6
2022,1,1,3,10,0,0,0,-14.6
2022,1,1,3,20,0,0,0,-14.6
2022,1,1,3,30,0,0,0,-14.7
2022,1,1,3,40,0,0,0,-14.7
2022,1,1,3,50,0,0,0,-14.8
2022,1,1,4,0,0,0,0,-14.8
2022,1,1,4,10,0,0,0,-14.8
2022,1,1,4,20,0,0,0,-14.8
2022,1,1,4,30,0,0,0,-14.8
2022,1,1,4,40,0,0,0,-14.8
2022,1,1,4,50,0,0,0,-14.8
2022,1,1,5,0,0,0,0,-14.8
2022,1,1,5,10,0,0,0,-14.8
2022,1,1,5,20,0,0,0,-14.8
2022,1,1,5,30,0,0,0,-14.8
2022,1,1,5,40,0,0,0,-14.8
2022,1,1,5,50,0,0,0,-14.8
2022,1,1,6,0,0,0,0,-14.8
2022,1,1,6,10,0,0,0,-14.8
2022,1,1,6,20,0,0,0,-14.8
2022,1,1,6,30,0,0,0,-14.9
2022,1,1,6,40,0,0,0,-14.9
2022,1,1,6,50,0,0,0,-14.9
2022,1,1,7,0,0,0,0,-14.9
2022,1,1,7,10,0,0,0,-14.9
2022,1,1,7,20,0,0,0,-14.9
2022,1,1,7,30,0,0,0,-14.9
2022,1,1,7,40,0,0,0,-14.9
2022,1,1,7,50,0,0,0,-14.9
